geneID,geneName,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000122223,CD244,4.564370553,4.422338332,2.824665715,1.565614759,0.117438833,0.866536786
ENSG00000242267,SKINT1L,4.4815948,4.422328612,3.283225082,1.346946524,0.177997456,0.866536786
ENSG00000115009,CCL20,92.05757571,4.399628454,1.517765687,2.898753405,0.003746494,0.866536786
ENSG00000251442,LINC01094,107.4160921,4.393891368,1.669078115,2.632525901,0.008475256,0.866536786
ENSG00000139988,RDH12,457.7294069,4.392565255,1.519995253,2.889854587,0.003854201,0.866536786
ENSG00000153233,PTPRR,27.59976769,4.391972014,2.026120847,2.16767525,0.030183404,0.866536786
ENSG00000198483,ANKRD35,265.0979961,4.388132435,1.611136375,2.723625699,0.006456964,0.866536786
ENSG00000106123,EPHB6,404.7279249,4.385545757,1.669951305,2.626151878,0.008635628,0.866536786
ENSG00000283703,VSIG10L2,28.02212423,4.37654278,1.763267005,2.482064694,0.013062356,0.866536786
ENSG00000175121,WFDC5,247.1720921,4.362154201,1.48203799,2.943348437,0.003246828,0.866536786
ENSG00000169067,ACTBL2,36.25868231,4.353081469,2.138922967,2.035174494,0.041833318,0.866536786
ENSG00000166589,CDH16,32.46214864,4.348344306,2.086261258,2.084276017,0.037135068,0.866536786
ENSG00000118322,ATP10B,555.7520486,4.341594607,1.800698059,2.411061969,0.015906146,0.866536786
ENSG00000254944,ATP5PBP5,4.838735772,4.329231564,2.522173391,1.716468653,0.0860763,0.866536786
ENSG00000105141,CASP14,1837.992897,4.305062129,1.728390107,2.490793087,0.012745832,0.866536786
ENSG00000215853,RPTN,252.5726523,4.292697609,3.164205246,1.356643225,0.1748946,0.866536786
ENSG00000170477,KRT4,26.3681124,4.290243189,1.852126402,2.316387901,0.020537099,0.866536786
ENSG00000139946,PELI2,36.14332205,4.280324395,2.147509413,1.993157454,0.046244208,0.866536786
ENSG00000134760,DSG1,48403.50965,4.274974954,1.652529802,2.5869276,0.009683594,0.866536786
ENSG00000182938,OTOP3,25.05302445,4.270343941,1.798981764,2.373756103,0.017608177,0.866536786
ENSG00000184502,GAST,92.73364509,4.26783658,1.855495973,2.300105547,0.021442241,0.866536786
ENSG00000204020,LIPN,25.97130908,4.263648888,1.916052256,2.225225787,0.026066085,0.866536786
ENSG00000137709,POU2F3,646.0710244,4.245076983,1.814958679,2.338938639,0.019338609,0.866536786
ENSG00000227471,AKR1B15,9.752663464,4.229700084,2.09766559,2.016384358,0.0437598,0.866536786
ENSG00000214215,C12orf74,3.394975074,4.229696949,3.105376798,1.362055951,0.173180228,0.866536786
ENSG00000155962,CLIC2,23.52270355,4.229692395,2.848854155,1.484699519,0.137623439,0.866536786
ENSG00000229023,AC067945.1,3.526320776,4.229689829,3.054375005,1.384797159,0.1661145,0.866536786
ENSG00000064787,BCAS1,2.890038532,4.229681908,4.093375739,1.033299208,0.301463898,0.866536786
ENSG00000274173,AL035661.1,146.4663321,4.222817369,1.530124281,2.759787177,0.005783903,0.866536786
ENSG00000132746,ALDH3B2,1045.537853,4.22188917,1.499840957,2.814891239,0.004879374,0.866536786
ENSG00000183671,GPR1,161.9102536,4.208945837,1.423854948,2.956021499,0.003116354,0.866536786
ENSG00000183034,OTOP2,26.767485,4.20894352,1.771406547,2.376046045,0.017499279,0.866536786
ENSG00000223617,LINC00370,13.2497996,4.17723325,2.07614396,2.012015221,0.044218332,0.866536786
ENSG00000133048,CHI3L1,31.51247847,4.17723313,2.027923104,2.059857754,0.039412141,0.866536786
ENSG00000103740,ACSBG1,13.29446782,4.177231248,2.393861646,1.744976054,0.080989037,0.866536786
ENSG00000178750,STX19,138.5362223,4.171287652,1.437162826,2.902446109,0.003702609,0.866536786
ENSG00000196542,SPTSSB,650.7396305,4.170090863,2.001932846,2.083032341,0.037248276,0.866536786
ENSG00000167972,ABCA3,39.34996944,4.159311627,2.028724555,2.050210127,0.04034393,0.866536786
ENSG00000163053,SLC16A14,32.83076235,4.15026794,1.670009548,2.485176174,0.012948734,0.866536786
ENSG00000159455,LCE2B,73.5339912,4.150253359,3.314815055,1.252031649,0.210558332,0.866536786
ENSG00000118194,TNNT2,106.3508317,4.148667683,1.457999645,2.845451778,0.004434847,0.866536786
ENSG00000057149,SERPINB3,1483.389442,4.139793587,1.510663434,2.740381142,0.006136797,0.866536786
ENSG00000147576,ADHFE1,28.7993161,4.122787292,1.691902907,2.436775346,0.014818883,0.866536786
ENSG00000109163,GNRHR,5.437041853,4.122784689,2.896673837,1.42328233,0.154654327,0.866536786
ENSG00000154025,SLC5A10,13.89122682,4.122784043,2.103745377,1.959735284,0.050026739,0.866536786
ENSG00000270120,AC007728.3,8.321849053,4.122783722,2.172322052,1.89786948,0.057713278,0.866536786
ENSG00000103089,FA2H,16.05729171,4.122783609,2.576418721,1.600199368,0.109554362,0.866536786
