geneID,geneName,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000224294,PINCR,2.763362689,6.258933829,3.665910152,1.707334214,0.08775995,0.515936031
ENSG00000087589,CASS4,3.541998994,6.258932223,3.098675576,2.019873352,0.043396526,0.514275563
ENSG00000231966,AL359853.2,4.60957763,6.258932088,2.984264097,2.097311727,0.035965989,0.514275563
ENSG00000223715,LINC01208,8.936158885,6.258931845,3.118103066,2.007288313,0.044718973,0.514275563
ENSG00000228917,AL591806.1,3.664022288,6.258929905,3.215973964,1.946200428,0.051630669,0.514275563
ENSG00000229558,SACS-AS1,2.689051196,6.258923321,4.098358406,1.527178128,0.126716723,0.526918992
ENSG00000182898,TCHHL1,2.306047295,6.258917468,4.32052709,1.448646736,0.147436262,0.535539171
ENSG00000249669,CARMN,2.105987683,6.258896664,5.031355701,1.243978171,0.213507597,0.573399065
ENSG00000116985,BMP8B,20.05009697,6.249212971,2.90961201,2.14778223,0.031731059,0.514275563
ENSG00000241794,SPRR2A,1059.995112,6.243537808,1.972283256,3.165639514,0.001547424,0.514275563
ENSG00000152137,HSPB8,1210.130681,6.237282502,2.69318681,2.315948704,0.02056107,0.514275563
ENSG00000176075,LINC00302,13.07767638,6.194758105,2.921856946,2.120144216,0.033993885,0.514275563
ENSG00000172478,C2orf54,228.4181629,6.172399437,2.082225139,2.964328555,0.003033442,0.514275563
ENSG00000116183,PAPPA2,210.7828015,6.141786961,1.967826717,3.121101521,0.001801759,0.514275563
ENSG00000231764,DLX6-AS1,9.257528648,6.106938546,3.330842193,1.83345178,0.066735413,0.514275563
ENSG00000102032,RENBP,6.779014402,6.106935357,2.999009812,2.036317231,0.041718511,0.514275563
ENSG00000234896,OR7E62P,11.01342753,6.10692755,2.772835213,2.202412723,0.027636168,0.514275563
ENSG00000165092,ALDH1A1,9.569623304,6.106927439,2.739759538,2.229001252,0.025813822,0.514275563
ENSG00000178033,CALHM5,201.4739635,6.090506241,2.843376655,2.141997695,0.032193667,0.514275563
ENSG00000075673,ATP12A,991.8413236,6.085457035,2.631750047,2.312323331,0.020759872,0.514275563
ENSG00000178776,C5orf46,208.9433638,6.06797314,2.227078781,2.72463336,0.006437293,0.514275563
ENSG00000156282,CLDN17,33.20641482,6.059086732,3.764306173,1.609615811,0.107481754,0.520618803
ENSG00000186844,LCE1A,41.60257257,6.028303677,2.30304072,2.617541073,0.008856583,0.514275563
ENSG00000235385,LINC02154,31.33897172,6.017887362,2.354849757,2.55552922,0.010602646,0.514275563
ENSG00000178860,MSC,66.76156793,5.986180153,2.090758866,2.863161434,0.004194368,0.514275563
ENSG00000206129,AC006305.1,22.09016843,5.953752498,2.488328182,2.392671731,0.016726199,0.514275563
ENSG00000176945,MUC20,6.007462027,5.937011421,2.96239435,2.00412596,0.045056569,0.514275563
ENSG00000131969,ABHD12B,5.320852576,5.93701074,3.495184533,1.698625833,0.089389706,0.516170227
ENSG00000205622,AP001043.1,7.989762104,5.937008813,2.887833772,2.055869306,0.039795115,0.514275563
ENSG00000100253,MIOX,6.246749835,5.93700207,3.137215521,1.892443165,0.058431959,0.514275563
ENSG00000269745,AC006262.3,4.534004624,5.937000961,3.938351282,1.507483852,0.13168668,0.529220329
ENSG00000169550,MUC15,1981.19156,5.935765512,1.873826201,3.167724686,0.001536369,0.514275563
ENSG00000124249,KCNK15,23.36920162,5.920586603,2.289878833,2.585545802,0.009722495,0.514275563
ENSG00000163435,ELF3,70.06616817,5.869365013,2.260373638,2.596634872,0.009414194,0.514275563
ENSG00000204421,LY6G6C,166.2334283,5.851881161,1.988518767,2.942834264,0.003252225,0.514275563
ENSG00000143631,FLG,3502.300475,5.835711595,2.684968089,2.173475215,0.029744569,0.514275563
ENSG00000153162,BMP6,78.09789175,5.826521368,2.332418395,2.498060117,0.012487501,0.514275563
ENSG00000248360,LINC00504,60.66853734,5.804183098,2.064049131,2.812037277,0.00492288,0.514275563
ENSG00000177614,PGBD5,261.2791268,5.785560056,2.038615093,2.837985491,0.004539925,0.514275563
ENSG00000247081,BAALC-AS1,127.9116243,5.784349337,1.899707354,3.044863371,0.00232786,0.514275563
ENSG00000103089,FA2H,16.05729171,5.779729755,2.55562066,2.261575767,0.023723627,0.514275563
ENSG00000133710,SPINK5,8071.88102,5.773976235,1.754304204,3.291319841,0.000997185,0.514275563
ENSG00000166257,SCN3B,179.52688,5.765431173,2.17805014,2.647060812,0.008119475,0.514275563
ENSG00000186395,KRT10,23981.7459,5.755046909,2.588829201,2.223030746,0.026213727,0.514275563
ENSG00000182261,NLRP10,572.7900997,5.744490369,1.810832319,3.172292822,0.001512404,0.514275563
ENSG00000188517,COL25A1,4.429402277,5.744366127,3.506728847,1.638098176,0.101401216,0.520022181
ENSG00000232316,LINC02518,10.07625701,5.744359537,3.362226687,1.708498585,0.087543869,0.515936031
ENSG00000266469,AC005288.1,9.23450853,5.744355909,2.782888703,2.064170193,0.039001583,0.514275563
ENSG00000175868,CALCB,7.76255993,5.744352352,3.0249463,1.898993166,0.057565375,0.514275563
ENSG00000230204,FTH1P5,3.77811489,5.744343541,4.107743429,1.39841829,0.161987494,0.545254609
